condition,censored,hours,cond1,cond2,cond3
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
3,0,18.917,0,0,1
2,1,49.883,0,1,0
2,0,9.55,0,1,0
2,0,9.533,0,1,0
3,0,6.6,0,0,1
1,1,49.833,1,0,0
1,0,15.283,1,0,0
2,0,15.25,0,1,0
1,1,46.25,1,0,0
2,1,46.233,0,1,0
4,0,15.233,0,0,0
4,0,5.883,0,0,0
3,0,15.2,0,0,1
3,0,5.867,0,0,1
4,0,15.183,0,0,0
4,1,46.167,0,0,0
3,0,15.15,0,0,1
2,0,15.133,0,1,0
4,0,5.65,0,0,0
4,0,14.967,0,0,0
4,0,5.633,0,0,0
4,0,5.617,0,0,0
4,0,5.6,0,0,0
4,0,5.583,0,0,0
4,0,7.667,0,0,0
2,0,7.767,0,1,0
3,0,11.35,0,0,1
4,1,72.25,0,0,0
1,0,7.917,1,0,0
2,1,68.817,0,1,0
2,1,68.817,0,1,0
1,0,7.883,1,0,0
3,0,7.867,0,0,1
3,0,5.033,0,0,1
2,0,13.417,0,1,0
3,0,5,0,0,1
2,0,13.4,0,1,0
2,1,65.9,0,1,0
3,0,4.967,0,0,1
2,0,13.383,0,1,0
4,0,4.95,0,0,0
4,0,13.367,0,0,0
2,1,65.85,0,1,0
4,0,4.917,0,0,0
4,0,13.317,0,0,0
4,0,4.9,0,0,0
4,0,4.883,0,0,0
4,0,13.3,0,0,0
4,0,11,0,0,0
4,0,4.333,0,0,0
3,0,10.917,0,0,1
4,0,4.3,0,0,0
3,0,4.2,0,0,1
3,0,4.183,0,0,1
4,0,7.283,0,0,0
4,0,4.033,0,0,0
4,0,4.033,0,0,0
4,0,7.567,0,0,0
3,1,114.55,0,0,1
3,0,15.533,0,0,1
2,0,21.017,0,1,0
4,0,7.5,0,0,0
4,0,7.5,0,0,0
1,0,7.483,1,0,0
2,1,114.467,0,1,0
4,0,7.467,0,0,0
2,0,3.95,0,1,0
4,0,7.45,0,0,0
1,1,114.433,1,0,0
2,0,3.917,0,1,0
4,0,7.4,0,0,0
4,0,7.4,0,0,0
4,0,7.383,0,0,0
4,0,3.717,0,0,0
1,1,37.667,1,0,0
1,1,37.667,1,0,0
1,1,37.65,1,0,0
1,0,13.15,1,0,0
1,1,37.65,1,0,0
3,0,13.133,0,0,1
2,0,18.967,0,1,0
3,1,37.633,0,0,1
2,1,20.083,0,1,0
1,0,4.567,1,0,0
1,1,20.05,1,0,0
3,0,1.383,0,0,1
3,1,20.05,0,0,1
3,1,20.05,0,0,1
1,1,20.05,1,0,0
1,1,20.033,1,0,0
2,1,20.017,0,1,0
1,1,20,1,0,0
1,1,20,1,0,0
3,0,1.317,0,0,1
4,0,1.3,0,0,0
3,0,1.283,0,0,1
3,0,1.267,0,0,1
4,0,1.25,0,0,0
4,0,1.25,0,0,0
3,0,1.117,0,0,1
3,0,1.117,0,0,1
3,0,1.117,0,0,1
3,0,1.117,0,0,1
3,0,1.117,0,0,1
4,0,1.1,0,0,0
4,0,1.083,0,0,0
4,0,1.067,0,0,0
4,0,1.067,0,0,0
4,0,1.05,0,0,0
3,0,1.05,0,0,1
4,0,1.05,0,0,0
3,0,1.033,0,0,1
2,0,18.717,0,1,0
1,1,32.683,1,0,0
1,0,18.633,1,0,0
2,1,68.783,0,1,0
2,0,3.017,0,1,0
2,0,13.75,0,1,0
1,0,3,1,0,0
3,0,2.983,0,0,1
2,0,2.967,0,1,0
2,0,2.967,0,1,0
2,0,2.95,0,1,0
2,0,2.933,0,1,0
2,1,68.667,0,1,0
1,1,68.65,1,0,0
2,0,21.65,0,1,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
2,0,2.417,0,1,0
4,0,0.017,0,0,0
2,0,2.4,0,1,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
2,0,2.35,0,1,0
4,0,0.017,0,0,0
2,0,4.25,0,1,0
2,0,0.017,0,1,0
2,0,5.583,0,1,0
4,0,0.017,0,0,0
4,0,5.567,0,0,0
4,0,0.017,0,0,0
4,0,5.55,0,0,0
4,0,5.533,0,0,0
4,0,0.017,0,0,0
2,0,5.517,0,1,0
4,0,5.5,0,0,0
4,0,0.017,0,0,0
4,0,0.017,0,0,0
1,0,12.7,1,0,0
2,0,1.85,0,1,0
2,0,3.417,0,1,0
1,1,42.417,1,0,0
1,1,42.4,1,0,0
2,1,42.4,0,1,0
1,1,42.383,1,0,0
4,0,0.017,0,0,0
