"","event.time","right.censor","left.censor"
"1",75.3333333333333,0,0
"2",181.528298611111,1,0
"3",66.0697569444444,1,0
"4",54.3318171296296,1,0
"5",0.01,0,1
"6",55.2013657407407,1,0
"7",128,1,0
"8",0.666666666666667,0,0
"9",1.03576388888889,1,0
"10",17.005162037037,1,0
"11",65,1,0
"12",142.922743055556,1,0
"13",64.4705324074074,1,0
"14",14.4091898148148,1,0
"15",121.935891203704,1,0
"16",0.01,0,1
"17",128.822708333333,1,0
"18",65.5613078703704,1,0
"19",100,1,0
"20",55.0693518518518,1,0
"21",98,1,0
"22",125.955648148148,1,0
"23",0.507407407407407,1,0
"24",172.624074074074,1,0
"25",0.0843865740740741,1,0
"26",61.328587962963,1,0
"27",132.135115740741,1,0
"28",12.9458449074074,1,0
"29",0.01,0,1
"30",50.6964583333333,1,0
"31",122.6740625,1,0
"32",0.01,0,1
"33",128.197303240741,1,0
"34",0.466539351851852,1,0
"35",94.154537037037,1,0
"36",93.9434143518519,1,0
"37",0.01,0,1
"38",0.094224537037037,1,0
"39",93.4172685185185,1,0
"40",93.0149884259259,1,0
"41",1.51346064814815,1,0
"42",175.7515625,1,0
"43",128.643368055556,1,0
"44",65.8858217592593,1,0
"45",41.639537037037,1,0
"46",0.533333333333333,0,0
"47",92.1116550925926,1,0
"48",128.437199074074,1,0
"49",0.01,0,1
"50",88.027974537037,1,0
"51",2.49005787037037,1,0
"52",140,1,0
"53",80.4974884259259,1,0
"54",0.01,0,1
"55",51.6110069444444,1,0
"56",91.9466203703704,1,0
"57",42,1,0
"58",0.01,0,1
"59",0.01,0,1
"60",173.747164351852,1,0
"61",12.1333333333333,0,0
"62",0.720486111111111,1,0
"63",80.081087962963,1,0
"64",3.26325231481481,1,0
"65",0.534259259259259,1,0
"66",75.9007291666667,1,0
"67",0.01,0,1
"68",0.01,0,1
"69",13.504537037037,1,0
"70",93.8338194444444,1,0
"71",94.1250694444444,1,0
"72",66.7334027777778,1,0
"73",0.40849537037037,1,0
"74",124.505115740741,1,0
"75",57.5428587962963,1,0
"76",0.0251273148148148,1,0
"77",54.1164583333333,1,0
"78",43.0931712962963,1,0
"79",20.3363541666667,1,0
"80",125.87412037037,1,0
"81",3.86666666666667,0,0
"82",128.674803240741,1,0
"83",24,1,0
"84",56.6825347222222,1,0
"85",28.5726851851852,1,0
"86",71.3326967592593,1,0
"87",1.6215625,1,0
"88",89,1,0
"89",80.369212962963,1,0
"90",53.0444675925926,1,0
"91",1.53684027777778,1,0
"92",0.01,0,1
"93",0.01,0,1
"94",67.0274884259259,1,0
"95",75.7504166666667,1,0
"96",49,1,0
"97",69.9085300925926,1,0
"98",0.01,0,1
"99",87.9490509259259,1,0
"100",90.9353935185185,1,0
"101",0.01,0,1
"102",0.01,0,1
"103",0.01,0,1
"104",0.210034722222222,1,0
"105",0.01,0,1
"106",66.6109606481482,1,0
"107",67.0471759259259,1,0
"108",250,1,0
"109",48.1330671296296,1,0
"110",91.9192476851852,1,0
"111",0.11568287037037,1,0
"112",72,1,0
"113",35.9965856481481,1,0
"114",105.514224537037,1,0
"115",112.273275462963,1,0
"116",0.01,0,1
"117",0.01,0,1
"118",34.5249884259259,1,0
"119",14.2979398148148,1,0
"120",92.0338425925926,1,0
"121",91.7813541666667,1,0
"122",0.01,0,1
"123",0.281041666666667,1,0
"124",196,1,0
"125",91.8366087962963,1,0
"126",55.1330439814815,1,0
"127",91.767025462963,1,0
"128",0.01,0,1
"129",61.1643171296296,1,0
"130",37.3312268518519,1,0
"131",66.7617939814815,1,0
"132",0.01,0,1
"133",0.01,0,1
"134",116.230509259259,1,0
